[ 2025-02-09 10:52:58,909 ] 17 root - INFO - Initiate the data ingestion
[ 2025-02-09 10:53:04,077 ] 57 root - INFO - Performed train test split on the dataframe
[ 2025-02-09 10:53:04,077 ] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-09 10:53:04,077 ] 67 root - INFO - Exporting train and test file path.
[ 2025-02-09 10:53:04,136 ] 76 root - INFO - Exported train and test file path.
[ 2025-02-09 10:53:04,137 ] 19 root - INFO - Data Initiation Completed
[ 2025-02-09 10:53:04,143 ] 23 root - INFO - Initiate the data Validation
[ 2025-02-09 10:53:04,166 ] 32 root - INFO - Required number of columns :2
[ 2025-02-09 10:53:04,167 ] 33 root - INFO - Data Frame has columns :31
[ 2025-02-09 10:53:04,167 ] 32 root - INFO - Required number of columns :2
[ 2025-02-09 10:53:04,167 ] 33 root - INFO - Data Frame has columns :31
[ 2025-02-09 10:53:04,332 ] 25 root - INFO - data Validation Completed
