[ 2025-02-11 10:32:30,854 ] 18 root - INFO - Initiate the data ingestion
[ 2025-02-11 10:32:36,495 ] 57 root - INFO - Performed train test split on the dataframe
[ 2025-02-11 10:32:36,495 ] 59 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-11 10:32:36,495 ] 67 root - INFO - Exporting train and test file path.
[ 2025-02-11 10:32:36,544 ] 76 root - INFO - Exported train and test file path.
[ 2025-02-11 10:32:36,545 ] 20 root - INFO - Data Initiation Completed
[ 2025-02-11 10:32:36,553 ] 24 root - INFO - Initiate the data Validation
[ 2025-02-11 10:32:36,574 ] 32 root - INFO - Required number of columns :2
[ 2025-02-11 10:32:36,585 ] 33 root - INFO - Data Frame has columns :31
[ 2025-02-11 10:32:36,585 ] 32 root - INFO - Required number of columns :2
[ 2025-02-11 10:32:36,585 ] 33 root - INFO - Data Frame has columns :31
[ 2025-02-11 10:32:36,711 ] 26 root - INFO - data Validation Completed
[ 2025-02-11 10:32:36,712 ] 29 root - INFO - data Transformation started
[ 2025-02-11 10:32:36,712 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-02-11 10:32:36,712 ] 65 root - INFO - Starting data transformation
[ 2025-02-11 10:32:36,745 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-02-11 10:32:36,745 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-02-11 10:32:36,767 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-11 10:32:36,768 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-11 10:32:36,769 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-02-11 10:32:36,771 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-02-11 10:32:36,772 ] 33 root - INFO - data Transformation completed
